Zipcode,Neighborhood
98010,Black Diamond
98038,Maple Valley
98070,Vashon Island
98023,Federal Way
98003,Federal Way
98001,Auburn
98002,Auburn
98047,Auburn
98092,Auburn
98022,SE King County
98051,SE King County
98065,Snoqualmie
98045,North Bend
98019,Duvail
98014,Carnation
98288,NE King County
98224,NE King County
98024,NE King County
98052,Redmond
98053,Redmond
98077,Redmond
98074,Sammamish
98075,Sammamish
98029,Issaquah
98027,Issaquah
98032,Kent
98031,Kent
98030,Kent
98042,Kent
98057,Renton
98055,Renton
98056,Renton
98059,Renton
98058,Renton
98198,Des Moines
98146,Burlen
98168,Burlen
98166,Burlen
98148,Seatac
98158,Seatac
98188,Seatac
98006,Bellevue
98004,Bellevue
98005,Bellevue
98007,Bellevue
98008,Bellevue
98034,Kirkland
98033,Kirkland
98040,Mercer Island
98039,Medina
98116,West Seattle
98136,West Seattle
98126,West Seattle
98106,West Seattle
98108,SE Seattle
98118,SE Seattle
98134,SE Seattle
98178,SE Seattle
98121,Downtown
98101,Downtown
98104,Downtown
98122,Downtown
98144,Downtown
98199,Queen Anne
98119,Queen Anne
98109,Queen Anne
98102,Capital Hill
98112,Capital Hill
98195,NE Seattle
98105,NE Seattle
98115,NE Seattle
98117,Ballard
98107,Ballard
98103,Ballard
98177,N Seattle
98133,N Seattle
98125,N Seattle
98155,N Seattle
98028,Kenmore
98011,Bothell
98072,Woodinville
